generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
960,726.8,1650.0,144064,0.3656,0.0011,0.1115,0.1278,0.1229,0.0335,0.5447,0.7926,0.0106,0.0000,0.0000,4.3,4,6,3.9,2,6,214,0.6515,123,0.0000
970,817.4,2300.0,148320,0.5300,0.0000,0.1074,0.1115,0.1352,0.0000,0.7503,0.7566,0.0868,0.0000,0.0000,4.3,4,6,4.0,2,6,237,0.5532,125,0.0000
980,786.4,1650.0,149734,0.5970,0.0004,0.1835,0.1547,0.1132,0.0507,0.7440,0.7805,0.0008,0.0000,0.0000,4.3,4,6,4.2,2,6,254,0.5291,117,0.0000
990,774.2,1850.0,148500,0.5296,0.0003,0.1922,0.2252,0.0560,0.0343,0.7427,0.7688,0.1019,0.0000,0.0000,4.3,4,6,4.2,2,6,227,0.5358,130,0.0000
1000,852.4,1700.0,153026,0.5848,0.0003,0.0902,0.0921,0.1565,0.0000,0.7404,0.8010,0.0467,0.0000,0.0000,4.4,4,6,4.2,2,6,228,0.6123,128,0.0000
1010,691.6,1550.0,143320,0.3481,0.0005,0.1252,0.2013,0.0218,-0.0015,1.2900,0.7770,0.0647,0.0000,0.0000,4.3,4,6,4.4,2,6,218,0.7249,136,0.0000
1020,778.9,1750.0,146248,0.5499,0.0010,0.0835,0.1929,0.1064,0.0735,1.3789,0.7382,-0.0090,0.0000,0.0000,4.3,4,6,4.0,2,6,224,0.6084,126,0.0000
1030,798.0,1800.0,152136,0.5398,0.0004,0.1433,0.1380,0.0262,0.0000,1.3667,0.7394,-0.0073,0.0000,0.0000,4.4,4,6,4.2,2,6,214,0.6049,84,0.0000
1040,766.1,1700.0,149989,0.5111,0.0000,0.1013,0.0632,0.1312,0.0384,1.3566,0.7913,-0.0123,0.0000,0.0000,4.5,4,6,3.9,2,6,217,0.6599,115,0.0000
1050,813.3,1900.0,153382,0.4793,0.0006,0.1232,0.1071,0.0866,0.0000,1.3476,0.7843,0.0575,0.0000,0.0000,4.6,4,6,3.7,2,6,224,0.5926,113,0.0000
