generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
520,0.0049,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0183,0.0199,0.0145,0.0131,0.0124,0.0256,0.0163,0.0139,0.0060,0.0046,0.0042,0.0090,0.0090,0.0088,0.0042,0.0093,0.0087,0.0095,0.0079,0.0038,0.0047,0.0067,0.0039,0.0000,0.0000,0.0000
530,0.0037,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0206,0.0209,0.0377,0.0346,0.0242,0.0128,0.0064,0.0053,0.0033,0.0029,0.0017,0.0021,0.0022,0.0022,0.0046,0.0029,0.0063,0.0083,0.0042,0.0059,0.0027,0.0028,0.0023,0.0000,0.0000,0.0000
540,0.0020,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0001,0.0009,0.0000,0.0078,0.0099,0.0075,0.0053,0.0042,0.0211,0.0101,0.0089,0.0062,0.0044,0.0032,0.0005,0.0001,0.0009,0.0065,0.0040,0.0016,0.0029,0.0029,0.0062,0.0011,0.0026,0.0006,0.0000,0.0000,0.0000
550,0.0033,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0008,0.0032,0.0000,0.0235,0.0230,0.0192,0.0122,0.0177,0.0497,0.0330,0.0359,0.0093,0.0039,0.0049,0.0014,0.0012,0.0033,0.0068,0.0042,0.0041,0.0113,0.0050,0.0036,0.0063,0.0057,0.0017,0.0000,0.0000,0.0000
560,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0002,0.0000,0.0138,0.0144,0.0201,0.0159,0.0131,0.0099,0.0068,0.0077,0.0034,0.0024,0.0023,0.0019,0.0014,0.0017,0.0034,0.0065,0.0064,0.0087,0.0037,0.0075,0.0057,0.0068,0.0012,0.0000,0.0000,0.0000
570,0.0064,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0009,0.0012,0.0000,0.0096,0.0094,0.0093,0.0051,0.0070,0.0101,0.0055,0.0075,0.0053,0.0024,0.0028,0.0056,0.0047,0.0047,0.0070,0.0079,0.0038,0.0047,0.0042,0.0071,0.0036,0.0045,0.0010,0.0000,0.0000,0.0000
580,0.0017,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0010,0.0012,0.0000,0.0076,0.0091,0.0049,0.0040,0.0038,0.0070,0.0051,0.0067,0.0042,0.0006,0.0012,0.0065,0.0031,0.0066,0.0049,0.0074,0.0058,0.0054,0.0019,0.0046,0.0057,0.0018,0.0012,0.0000,0.0000,0.0000
590,0.0017,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0006,0.0012,0.0000,0.0039,0.0065,0.0092,0.0052,0.0059,0.0023,0.0015,0.0017,0.0030,0.0014,0.0013,0.0035,0.0030,0.0022,0.0021,0.0033,0.0021,0.0049,0.0029,0.0016,0.0030,0.0025,0.0015,0.0000,0.0000,0.0000
600,0.0013,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0169,0.0189,0.0186,0.0148,0.0171,0.0065,0.0046,0.0044,0.0011,0.0003,0.0002,0.0003,0.0001,0.0006,0.0019,0.0079,0.0015,0.0055,0.0041,0.0028,0.0036,0.0027,0.0005,0.0000,0.0000,0.0000
610,0.0018,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0003,0.0000,0.0247,0.0202,0.0572,0.0415,0.0421,0.0036,0.0021,0.0030,0.0013,0.0009,0.0008,0.0028,0.0014,0.0023,0.0028,0.0023,0.0019,0.0028,0.0027,0.0016,0.0058,0.0056,0.0011,0.0000,0.0000,0.0000
