generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
910,638.0,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,280,0.0000,176,0.0000,2992,0.0000
920,673.0,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,7,106,0.0000,50,0.0000,3245,0.0000
930,642.6,1200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,233,0.0000,146,0.0000,3125,0.0000
940,653.6,1100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1,4,7,188,0.0000,74,0.0000,3095,0.0000
950,667.2,1300.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1,4,7,113,0.0000,42,0.0000,3274,0.0000
960,661.8,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1,4,8,146,0.0000,52,0.0000,3334,0.0000
970,662.1,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,124,0.0000,79,0.0000,3345,0.0000
980,654.7,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1,4,8,164,0.0000,73,0.0000,3264,0.0000
990,657.9,1100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,143,0.0000,68,0.0000,3123,0.0000
1000,637.4,1250.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,9,220,0.0000,143,0.0000,3107,0.0000
1010,647.2,1100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,216,0.0000,128,0.0000,3200,0.0000
1020,647.9,1200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,7,196,0.0000,110,0.0000,3247,0.0000
1030,653.2,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,202,0.0000,134,0.0000,3109,0.0000
1040,650.0,1300.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,9,178,0.0000,141,0.0000,3082,0.0000
1050,656.5,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,8,168,0.0000,117,0.0000,3189,0.0000
1060,652.7,1200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4,4,8,139,0.0000,89,0.0000,3095,0.0000
1070,637.6,1100.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,8,241,0.0000,161,0.0000,2933,0.0000
1080,656.4,1200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,8,106,0.0000,84,0.0000,3177,0.0000
1090,670.9,1200.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,91,0.0000,69,0.0000,3318,0.0000
1100,665.9,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,4,8,144,0.0000,94,0.0000,3271,0.0000
1110,663.8,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,156,0.0000,60,0.0000,3262,0.0000
1120,642.5,1150.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2,4,8,243,0.0000,168,0.0000,3060,0.0000
